#,,,,,,,,#,,,,,,,,,,,,,,#
,,,,,,,,#,,,,,,,,,,,,,,
,,,#,#,#,#,#,#,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
#,#,#,#,#,,,,,,,,,,,,,,,,,,
,,,,#,,,,,,,,,,,,,,,,,,
,,#,,#,,,,Y,,,,,,,,,,,,,,
,,#,,#,,,,,,,,,,,,,,,,,,
,,#,,#,,,,,,,,,,,,,,,,,,
,,#,,#,,,,,,,,,,,,,,,,,,
,,#,,#,#,#,,,,,,,,,,,,,,,,
,,#,,,X,,,,,,,,,,,,,,,,,
,X,#,,,,,,,,,,,,P,,,,,,,,
#,#,#,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,#
